date,population,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
22-03-2020,1380004385,396,66,7,3,1298,16999,0,0,0,0
23-03-2020,1380004385,499,103,10,3,3708,20707,0,0,0,0
24-03-2020,1380004385,536,37,10,0,157,20864,0,0,0,0
25-03-2020,1380004385,657,121,12,2,4280,25144,0,0,0,0
26-03-2020,1380004385,727,70,20,8,0,0,0,0,0,0
27-03-2020,1380004385,887,160,20,0,0,27688,0,0,0,0
28-03-2020,1380004385,987,100,24,4,0,0,0,0,0,0
29-03-2020,1380004385,1024,37,27,3,0,0,0,0,0,0
30-03-2020,1380004385,1251,227,32,5,0,0,0,0,0,0
31-03-2020,1380004385,1397,146,35,3,0,0,0,0,0,0
01-04-2020,1380004385,1998,601,58,23,0,0,0,0,0,0
02-04-2020,1380004385,2543,545,72,14,0,47951,0,0,0,0
03-04-2020,1380004385,2567,24,72,0,21294,69245,0,0,0,0
04-04-2020,1380004385,3082,515,86,14,10705,79950,0,0,0,0
05-04-2020,1380004385,3588,506,99,13,9584,89534,0,0,0,0
06-04-2020,1380004385,4778,1190,136,37,11534,101068,0,0,0,0
07-04-2020,1380004385,5311,533,150,14,12947,114015,0,0,0,0
08-04-2020,1380004385,5916,605,178,28,13904,127919,0,0,0,0
09-04-2020,1380004385,6725,809,226,48,16991,144910,0,0,0,0
10-04-2020,1380004385,7598,873,246,20,16420,161330,0,0,0,0
11-04-2020,1380004385,8446,848,288,42,18044,179374,0,0,0,0
12-04-2020,1380004385,9205,759,331,43,16374,195748,0,0,0,0
13-04-2020,1380004385,10453,1248,358,27,21806,217554,0,0,0,0
14-04-2020,1380004385,11487,1034,393,35,27339,244893,0,0,0,0
15-04-2020,1380004385,12322,835,405,12,29706,274599,0,0,0,0
16-04-2020,1380004385,13430,1108,448,43,28357,302956,0,0,0,0
17-04-2020,1380004385,14352,922,486,38,32167,335123,0,0,0,0
18-04-2020,1380004385,15722,1370,521,35,37000,372123,0,0,0,0
19-04-2020,1380004385,17615,1893,559,38,29463,401586,0,0,0,0
20-04-2020,1380004385,18539,924,592,33,0,0,0,0,0,0
21-04-2020,1380004385,20080,1541,645,53,0,462621,0,0,0,0
22-04-2020,1380004385,21370,1290,681,36,0,0,0,0,0,0
23-04-2020,1380004385,23077,1707,721,40,0,500542,0,0,0,0
24-04-2020,1380004385,24530,1453,780,59,41247,541789,0,0,0,0
25-04-2020,1380004385,26283,1753,825,45,38168,579957,0,0,0,0
26-04-2020,1380004385,27890,1607,881,56,45352,625309,0,0,0,0
27-04-2020,1380004385,29451,1561,939,58,40510,665819,0,0,0,0
28-04-2020,1380004385,31324,1873,1008,69,50914,716733,0,0,0,0
29-04-2020,1380004385,33062,1738,1079,71,54031,770764,0,0,0,0
30-04-2020,1380004385,34863,1801,1154,75,59437,830201,0,0,0,0
01-05-2020,1380004385,37257,2394,1223,69,72453,902654,0,0,0,0
02-05-2020,1380004385,39699,2442,1323,100,73709,976363,0,0,0,0
03-05-2020,1380004385,42505,2806,1391,68,70087,1046450,0,0,0,0
04-05-2020,1380004385,46437,3932,1566,175,60783,1107233,0,0,0,0
05-05-2020,1380004385,49400,2963,1693,127,84713,1191946,0,0,0,0
06-05-2020,1380004385,52987,3587,1785,92,84835,1276781,0,0,0,0
07-05-2020,1380004385,56351,3364,1889,104,80632,1357413,0,0,0,0
08-05-2020,1380004385,59695,3344,1985,96,80375,1437788,0,0,0,0
09-05-2020,1380004385,62808,3113,2101,116,85425,1523213,0,0,0,0
10-05-2020,1380004385,67161,4353,2212,111,85824,1609037,0,0,0,0
11-05-2020,1380004385,70768,3607,2294,82,64651,1673688,0,0,0,0
12-05-2020,1380004385,74292,3524,2415,121,85891,1759579,0,0,0,0
